name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Zone Defence,els_drone_zd,Drone,Directory,,,50,30,550,,100,,,200,250,250,180,360,5,NONE,,,,,,,0,0,0,0,0,,10,,3,6,,,1,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,Not available (drone),,,0,,,,0
Qarin,els_drone_qarin,Drone,Directory,els_rcsburst_ftr,,100,100,1000,,250,,,200,250,200,120,250,6,FRONT,,120,0.25,1,,,,0,0,0,0,0,,10,,3,6,,,1,0,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,Not available (drone),,,0,,,,1
Adept,els_adept,Frigate,Directory,els_mesa_radar,6,750,75,2200,2500,200,35,0,155,220,175,120,360,100,OMNI,,150,0.3,0.6,,,10,20,30,40,1,40,10,15000,10,20,180,0.25,5,5,,,,,,,COMBAT,els_bp,,els_adept_std,1,,,,,202
Chevalier,els_chevalier,Destroyer,Directory,els_rcsburst,12,4700,500,7500,,350,85,0,120,130,80,45,60,400,OMNI,,150,0.4,1.0,,,40,80,60,110,2,,9,35000,5,12,380,0.2,11,11,,,,,,,COMBAT,els_bp,,els_chevalier_std,1,,,,,301
Dupleix,els_dupleix,Fast Carrier,Directory,els_zd_drones,11,4500,675,4000,,200,60,2,100,60,50,30,25,500,OMNI,,200,0.5,1.1,,,100,180,150,150,2,,9,45000,4,12,480,0.25,12,12,,,,,,,COMBAT,els_bp,,els_dupleix_support,1,,,,,303
Sommelier,els_sommelier,Fuel Pod,Directory,burndrive,6,2000,160,2000,,150,35,0,40,25,30,20,10,200,OMNI,,160,0.5,0.8,,,25,35,15,150,1,,8,10000,8,8,200,0.2,6,6,,,,,,,COMBAT,els_bp,,els_sommelier_support,1,,,,,
Damascus,els_damascus,Picket,Directory,highenergyfocus,6,1000,180,1500,,220,32,0,175,200,175,90,120,150,FRONT,,250,0.3,0.6,,,8,20,20,80,1,,10,9000,10,15,200,0.2,5,5,,,,,,,COMBAT,els_bp,,els_damascus_std,1,,,,,201
Lancier,els_lancier,Heavy Frigate,Directory,els_drone_qarin,6,2000,300,2500,,200,45,0,140,125,115,70,85,175,OMNI,,200,0.3,0.6,,,30,60,30,50,1,,9,15000,10,12,380,0.2,6,6,,,,,,,COMBAT,els_bp,,els_lancier_assault,1,,,,,205
Mistral,els_mistral,Light Freighter,Directory,burndrive,5,1500,225,2000,,120,35,0,115,110,90,45,90,350,OMNI,,150,0.4,0.9,,,20,50,100,80,1,80,10,12000,8,10,150,0.25,5,5,,,,,,CIVILIAN,"CIVILIAN, COMBAT",els_bp,,els_mistral_bal,1,,,,,203
Mistral (M)_Old,els_mistral_mm,Light Transport,Directory,maneuveringjets,6,1500,250,1700,,135,40,0,140,115,95,50,96,350,OMNI,,150,0.4,0.8,,,20,45,90,80,1,80,10,14000,8,10,200,0.25,5,5,,,,,,,COMBAT,els_bp,,els_mistral_m_std,0,,,,,203.5
Hallebarde,els_hallebarde,Missile Destroyer,Directory,fastmissileracks,11,5000,600,5000,,250,85,0,60,40,20,35,35,460,OMNI,,150,0.4,1.1,,,50,90,75,120,2,,8,30000,5,12,450,0.25,11,11,,,,,,,COMBAT,els_bp,,els_hallebarde_std,1,,,,,302
Djinn,els_djinn,Interceptor,Directory,els_rcsburst_ftr,5,450,75,550,,125,,,200,160,110,130,260,10,NONE,,,,,,,0,0,0,0,0,,10,,3,6,,,1,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,Not available (fighter wing),,,0,,,,101
Ifrit,els_ifrit,Heavy Fighter,Directory,flarelauncher_fighter,6,750,125,800,,125,,,190,125,100,120,250,12,NONE,,,,,,,0,0,0,0,0,,10,,4,7,,,1,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,Not available (fighter wing),,,0,,,,102
