name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Mini Flakker,els_miniflakker,0,1,160,400,,60,,1,120,7,40,3,8,FRAGMENTATION,20,,,0.2,2,0.2,3,9,1.5,10,,720,,,0,,,"ANTI_FTR, PD","pd7, SR, els_bp, base_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Arret Coilgun,els_coilac,1,1,500,600,,75,,6,45,6,,,,KINETIC,70,,0.75,0.25,1,0.25,1,3,1,15,,1100,,,50,,,,"kinetic6, els_bp, base_bp, merc, ind",,Directory,,Anti Shield,,,,,,,,,,
Châtiment Heavy Coilgun,els_coilac_heavy,1,1,1000,850,,115,,7,45,11,,,,KINETIC,115,,0.80,0.30,1,0.25,1,3,1,15,,1200,,,50,,,,"kinetic11, LR, els_bp, base_bp, merc, ind",,Directory,,Anti Shield,,,,,,,,,,
Épée Mass Driver,els_epee,2,1,900,800,,150,100,8,16,7,,,,KINETIC,200,,0.2,1.78,,,0,,1,9,,800,,,20,,,,"kinetic8, LR, els_bp, rare_bp, merc, ind",,Directory,,Anti Shield,,,,,,,,,,
Twin Épée Mass Driver,els_glaive,2,1,2000,900,,150,100,8,12,11,,,,KINETIC,200,,0.3,1.85,2,0.30,,,,,,1500,,,300,,,,"kinetic14, LR, els_bp, rare_bp, merc, ind",,Directory,,Anti Shield,,,,,,,,,,
Sirocco Coilgun,els_sirocco,3,1,2500,1200,,400,750,400,20,22,,,,KINETIC,375,,0.3,2.3,1,0,0,0,2,20,,1800,,,77,,,,"kinetic20, LR, els_bp, rare_bp, merc, ind",,Directory,,Anti Shield,,,,,,,,,,
Greave Cannon,els_greavecannon,1,1,2500,900,,120,,5,20,12,,,,HIGH_EXPLOSIVE,120,,0,0.5,1,,0,10,2,10,,1100,,,50,,,,"he12, LR, els_bp, base_bp, merc, ind",,Directory,,Anti Armor,,,,,,,,,,
Hatf SRAM Rack,els_hatf_rack,1,1,500,1000,,1000,,300,8,5,3,,,HIGH_EXPLOSIVE,0,,0.1,1,1,0,0,0,0,0,,950,250,3.5,250,,,STRIKE,"strike6, missile6, els_bp, base_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Ra'ad SRAM Rack,els_raad_rack,2,1,600,900,,300,1200,175,8,6,6,,,ENERGY,0,,0,1,2,0.1,0,0,0,15,,1000,300,3.3,200,,,STRIKE,"strike7, missile6, energy6, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Vengeance Hatf Pod,els_hatf_pod,2,1,1000,800,,1000,0,300,8,10,10,,,HIGH_EXPLOSIVE,0,,0.1,3,2,0.1,0,0,0,0,,950,250,3.5,250,,,STRIKE,"strike12, missile10, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Ra'ad SRAM Pod,els_raad_pod,2,1,1200,900,,300,1200,175,8,12,24,,,ENERGY,0,,0,1,2,0.1,0,0,0,15,,1000,300,3.3,200,,,STRIKE,"strike14, missile10, energy10, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Alkahest Missile Rack,els_alkahest,2,1,900,1100,,350,150,80,6,8,4,0.5,,ENERGY,0,,0.1,1.5,1,,0,0,0,0,,800,260,1.2,50,,,STRIKE,"strike8, missile7, energy8, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Alkahest Pod,els_alkahest_pod,3,1,1800,1100,,350,150,80,6,12,12,0.5,2,ENERGY,0,,0.1,1.5,2,0.25,0,0,0,0,,800,260,1.2,50,,,STRIKE,"strike15, missile12, energy12, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Alouette Missile Rack,els_alouette_rack,1,1,300,3500,,150,750,45,6,6,,0.05,1,FRAGMENTATION,0,,0.1,2.0,1,0,0,0,0,0,,600,100,8.5,175,,,,"missile8, utility6, LR, els_bp, base_bp, merc, ind",,Directory,,Suppression,,,,,,,,,,
Alouette Pod,els_alouette_pod,2,1,600,3500,,150,750,45,6,12,12,0.05,2,FRAGMENTATION,0,,0.1,2.0,2,0.2,0,0,0,0,,600,100,8.5,175,,,,"missile16, utility12, LR, els_bp, rare_bp, merc, ind",,Directory,,Suppression,,,,,,,,,,
Tactical Maser,els_tacmaser,1,1,200,800,150,,,,50,4,,,,ENERGY,,100,,0.1,0.1,0.6,0,0,0,10,7000,,,,,,,,"beam8, energy6, LR, els_bp, base_bp, merc, ind",,Directory,,General,,,,,,,,,,
Heavy Maser,els_hmaser,2,1,850,900,350,,,,35,11,,,,ENERGY,,300,,0.25,0.75,1.5,0,0,0,10,7000,,,,,,,,"beam14, energy12, LR, els_bp, rare_bp, merc, ind",,Directory,,General,,,,,,,,,,
Zone Defence Maser,els_zdmaser,1,1,150,400,100,,,,100,4,,,,ENERGY,,75,,0.1,0.1,0.4,0,0,0,10,7000,,,,,,,"ANTI_FTR, PD","pd7, beam6, SR, els_bp, base_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Light ZD Maser,els_zdmaser_sm,1,1,150,300,80,,,,100,3,,,,ENERGY,,65,,0.1,0.1,0.4,0,0,0,10,7000,,,,,,,"ANTI_FTR, PD","pd5, beam4, SR, els_bp",,Directory,,Point Defense,,,,,,,,,,
Heavy ZD Maser,els_hvydefmaser,2,1,350,600,200,,,,75,8,,,,ENERGY,,150,,0.25,0.5,1.0,0,0,0,10,7000,,,,,,,"ANTI_FTR, PD","pd12, beam10, els_bp, rare_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Excimer Laser,els_excimer,3,1,1800,1000,600,,,,20,20,,,,ENERGY,,500,,0.25,0.75,2.0,0,0,0,10,7000,,,,,,,,"beam20, energy18, LR, els_bp, rare_bp, merc, ind",,Directory,,General,,,,,,,,,,
Strobe CIWS,els_pdlaser,2,1,400,450,,10,,10,115,7,,,,FRAGMENTATION,,25,0.1,0,0.1,0.01,,,,,3000,,,,,,,PD,"pd8, beam7, SR, els_bp, rare_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Twin Mag Flak,els_magflaktwin,2,1,2200,475,,120,50,200,60,12,,,,FRAGMENTATION,60,,0.1,0.60,2,0.1,0,8,1,10,,850,,,30,,,PD,"pd14, els_bp, rare_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Mag Flak,els_magflak,1,1,1200,550,,150,70,250,50,8,,,,FRAGMENTATION,60,,0.1,0.60,1,0,0,9,1,10,,850,,,30,,,PD,"pd10, els_bp, base_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Countermissile Launcher,els_countermissile_3cell,3,1,650,900,,150,,100,20,6,12,0.5,3,FRAGMENTATION,0,0,0.1,1.2,1,2,8,1,10,10,,1000,300,1.0,40,,,"GUIDED_POOR, PD, PD_ONLY","pd8, missile6, utility8, els_bp, rare_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Hull Defence Gun,els_hulldefgun,0,1,125,275,,20,,1,105,2,25,3,25,FRAGMENTATION,2,,,0.1,1,,2,8,1.5,10,,800,,,0,,,"PD, SYSTEM","pd4, SR, els_bp",,Directory,,Point Defense,,,,,,,,,,
